Morgenradio<nouns_table>
eingesprochen<verbs_meaning_table>
eingesprochen<verbs_meaning_table>
hysterisch-gutgelaunte<adjectives_table>
 Händlern<nouns_table>
Koalitions<nouns_table>
Gehirnentwicklung<nouns_table>
erstmal<adverbs_table>
Bundes<nouns_table>
 Entwicklung<nouns_table>
Rauschmittel<nouns_table>
Gramm<nouns_table>
