aspects,language,in,im,von,als,zum,und,Oder,bei,unter,zu,Und,wie,dass,oder,Über,für,Wenn,vor,Denn,Am,gegen,aus,mit,bis,auf,Wann,In,an,seit,vom,Aber,Durch,Gegen,wo,aber,Auf,Für,nach,am,da,durch,um,voller,über,wenn,Als,Trotz,Doch,beim,Im,at,sondern,Na,Zum,Vor,Bis,ob,zur,damit,Mit,Weil,Nach,ins,sowohl,denn,während,Falls,ab,voran
basic_forms,english,,,,,,,,,,,,,,,,,,,,"be : Verb
",,,,,,,,,,,,,,,,,,,"be : Verb
",,,,"voll : Adjective
",,,,,,,,,,,,,,,,,,,,,,,"währen : Verb
","fall : Verb
der Fall : Noun
",,
basic_forms,german,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbs,english,"to have sth. down pat
to have sth. off pat
to know sth. inside out
to have sth. down cold [coll.] chiefly (Amer.)
",,,"to act as if
to act as if
to go through the motions
to play-act | play-acted, play-acted |
to pretend to be sth.
",,"to criss-cross or: crisscross | criss-crossed, criss-crossed / crisscrossed, crisscrossed |
to be common practice
to outtalk so. | outtalked, outtalked |
",,,,,"to criss-cross or: crisscross | criss-crossed, criss-crossed / crisscrossed, crisscrossed |
to be common practice
to outtalk so. | outtalked, outtalked |
","to look like so./sth.
to feel like so./sth.
to go ahead as scheduled
to fit snugly
to fit snugly
to be rooted to the spot
to stand rooted to the ground
to fit like a glove
to proceed as normal
to talk nineteen to the dozen
to be on tenterhooks
to stilt | stilted, stilted |
to be on tenterhooks
to guard sth. jealously
","so. notices that ... infinitive: notice
",,,,,,,"to be aux. | was, been |
to be sth. | was, been |
to be | was, been |
to be + expression of place | was, been | - be situated or located
to be out and about
to be after so./sth.
to be beyond so.
to be beyond so.
to be beyond so.
to be around
to be around
to be around
to be around
to be into so./sth.
",,"to power cycle sth. [coll.] [ELEC.]
",,,,,"to have sth. down pat
to have sth. off pat
to know sth. inside out
to have sth. down cold [coll.] chiefly (Amer.)
","to drive so./an animal (on)
to skin so./an animal
to skin so./an animal
to pen so./an animal ⇔ up
to pen so./an animal ⇔ up
to pen so./an animal ⇔ in
",,,,,,"to watch one's step - walk carefully
to show the ropes to so.
to show so. the ropes
to be back to square one
to locate the source of a leak
to take the line of least resistance
",,,,,"to be aux. | was, been |
to be sth. | was, been |
to be | was, been |
to be + expression of place | was, been | - be situated or located
to be out and about
to be after so./sth.
to be beyond so.
to be beyond so.
to be beyond so.
to be around
to be around
to be around
to be around
to be into so./sth.
","to be present
to be around
to be in town
to be there
to be in
to be on hand
to reach out to so.
to be back
to be out
to intersperse | interspersed, interspersed |
to be out of pocket (Amer.) [coll.]
to be back to square one
",,"to bend to ... ° [ENGIN.]
","to pay up
to fill up
to fully compensate
to use sth. to full capacity
to fill sth. ⇔ up
to round sth. ⇔ off
to ripen | ripened, ripened |
to flower out
to commit oneself
to eat to repletion
to be firmly committed to sth.
to abound with sth.
to be backing so. all the way
to be a raving success
",,,"to act as if
to act as if
to go through the motions
to play-act | play-acted, play-acted |
to pretend to be sth.
","to defy | defied, defied |
to face | faced, faced |
to glare at so. defiantly
to glare at so. in defiance
","to not do sth. after all
",,,,"to assort sth. | assorted, assorted |
to vote separately
",,,,,,,"to expect (that ...) | expected, expected |
to reckon | reckoned, reckoned |
to lump it
to vaunt that ...
to busy oneself doing sth.
to settle for doing sth.
to be content to do sth.
to figure on doing sth.
to resign oneself to doing sth.
to be busy doing sth.
to amuse oneself by doing sth.
to join the dots
",,,,,,,"to last | lasted, lasted |
to continue | continued, continued |
","to fall | fell, fallen |
to fall | fell, fallen |
to fall | fell, fallen | also [TECH.]
to fall | fell, fallen | - decrease in number, intensity ...
to fall | fell, fallen |
to fall | fell, fallen |
to fall | fell, fallen |
to fall | fell, fallen |
to fall | fell, fallen |
to fall | fell, fallen |
to fall | fell, fallen | also [TECH.]
to fall down
to fall down
to fall down
",,"sth. wears on infinitive: wear on
to take a step forward
"
verbs,german,"etw.acc. in- und auswendig können
etw.acc. in- und auswendig können
etw.acc. in- und auswendig kennen
etw.acc. in- und auswendig können
",,,"sichacc. aufführen, als ob
sichacc. anstellen, als ob
so tun, als ob
so tun, als ob
so tun, als ob man etw.nom. sei
",,"kreuz und quer verlaufen
gang und gäbe sein
jmdn. in Grund und Boden reden
",,,,,"kreuz und quer verlaufen
gang und gäbe sein
jmdn. in Grund und Boden reden
","wie jmd./etw. aussehen
sichacc. wie jmd./etw. fühlen
wie geplant stattfinden
wie angegossen passen - Kleider
wie angegossen sitzen - Kleider
wie angewurzelt stehenbleiben (or: stehen bleiben)
wie angewurzelt stehenbleiben (or: stehen bleiben)
wie angegossen passen
wie gewohnt verfahren
wie ein Wasserfall reden
wie auf glühenden Kohlen sitzen
wie auf Stelzen gehen
wie auf heißen Kohlen sitzen
etw.acc. wie seinen Augapfel hüten
","jmdm. fällt auf, dass ... infinitive: auffallen
",,,,,,,"sein | war, gewesen |
etw.nom. sein | war, gewesen |
betragen | betrug, betragen |
sichacc. + expression of place befinden | befand, befunden | - an einem Ort
unterwegs sein
hinter jmdm./etw. her sein
jmds. Fähigkeiten übersteigen
jmdm. ein Rätsel sein
jmdm. zu hoch sein | war, gewesen |
da sein
in der Nähe sein
dabei sein - anwesend sein
hier sein
sichacc. für jmdn./etw. interessieren | interessierte, interessiert |
",,"etw.acc. aus- und wieder einschalten | schaltete aus, ausgeschaltet |
",,,,,"etw.acc. in- und auswendig können
etw.acc. in- und auswendig können
etw.acc. in- und auswendig kennen
etw.acc. in- und auswendig können
","jmdn. (or: ein Tier) antreiben | trieb an, angetrieben |
jmdn. (or: ein Tier) häuten | häutete, gehäutet |
jmdm. (or: einem Tier) die Haut abziehen
jmdn. (or: ein Tier) einpferchen | pferchte ein, eingepfercht |
jmdn. (or: ein Tier) einsperren | sperrte ein, eingesperrt |
jmdn. (or: ein Tier) einsperren | sperrte ein, eingesperrt |
",,,,,,"aufpassen, wo man hintritt
jmdm. zeigen, wo es (or: wo's) langgeht
jmdm. zeigen, wo es (or: wo's) langgeht
wieder da sein, wo man angefangen hat
feststellen, wo eine undichte Stelle ist
das Brett bohren, wo's am dünnsten ist
",,,,,"sein | war, gewesen |
etw.nom. sein | war, gewesen |
betragen | betrug, betragen |
sichacc. + expression of place befinden | befand, befunden | - an einem Ort
unterwegs sein
hinter jmdm./etw. her sein
jmds. Fähigkeiten übersteigen
jmdm. ein Rätsel sein
jmdm. zu hoch sein | war, gewesen |
da sein
in der Nähe sein
dabei sein - anwesend sein
hier sein
sichacc. für jmdn./etw. interessieren | interessierte, interessiert |
","da sein
da sein
da sein
da sein
da sein
da sein
für jmdn. da sein
wieder da sein
nicht da sein
hier und da einfügen
nicht da sein
wieder da sein, wo man angefangen hat
",,"um ... ° biegen [Mechanical Engineering]
","voll bezahlen
voll werden
voll ausgleichen
etw.acc. voll ausnutzen
etw.acc. vollmachen or: voll machen | machte voll, vollgemacht |
etw.acc. vollmachen or: voll machen | machte voll, vollgemacht |
sichacc. (voll) entwickeln | entwickelte, entwickelt |
sichacc. voll entwickeln
sichacc. voll einsetzen
sichacc. voll essen
sichacc. voll für etw.acc. einsetzen
voll von etw.dat. sein
voll hinter jmdm. stehen
voll einschlagen [coll.] - Erfolg haben
",,,"sichacc. aufführen, als ob
sichacc. anstellen, als ob
so tun, als ob
so tun, als ob
so tun, als ob man etw.nom. sei
","Trotz bieten | bot, geboten |
Trotz bieten | bot, geboten |
jmdn. voller Trotz anschauen
jmdn. voller Trotz anschauen
","etwas doch nicht tun
",,,,"etw.acc. sondern | sonderte, gesondert |
gesondert abstimmen
",,,,,,,"damit rechnen (, dass ...)
damit rechnen
sichacc. damit abfinden
sichacc. damit brüsten, dass ...
sichacc. damit beschäftigen, etw.acc. zu tun
sichacc. damit zufriedengeben, etw.acc. zu tun
sichacc. damit zufriedengeben, etw.acc. zu tun
damit rechnen, etw.acc. zu tun
sichacc. damit abfinden, etw.acc. zu tun
damit beschäftigt sein, etw.acc. zu tun
sichacc. damit belustigen, etw.acc. zu tun
Punkte verbinden, damit ein Bild entsteht
",,,,,,,"währen | währte, gewährt |
währen | währte, gewährt |
","fallen | fiel, gefallen |
stürzen | stürzte, gestürzt |
sinken | sank, gesunken | - z. B. Druck, Spannung
zurückgehen | ging zurück, zurückgegangen |
absinken | sank ab, abgesunken |
hinfallen | fiel hin, hingefallen |
rückläufig sein
abstürzen | stürzte ab, abgestürzt |
zerfallen | zerfiel, zerfallen |
nachgeben | gab nach, nachgegeben |
abnehmen | nahm ab, abgenommen |
hinunterstürzen | stürzte hinunter, hinuntergestürzt |
herunterstürzen | stürzte herunter, heruntergestürzt |
herabfallen | fiel herab, herabgefallen |
",,"etw.nom. schreitet voran infinitive: voranschreiten
einen Schritt voran gehen
"
nouns,english,"the ins pl. (Amer.) [POL.]
belief (in so./sth.)
faith (in sth.)
share (in sth.)
faith (in so./sth.)
faith (in so./sth.)
single-handedly
in tray (or: in-tray)
in tray (or: in-tray)
in tray (or: in-tray)
in tatters
in tatters
in connection
on the side - position of a body
","overseas
intracranial locatedness [TECH.]
picture-in-picture function [TECH.]
sound on vision [TELECOM.]
prepopulated field
cookout (Amer.)
foreign borrowing
checksAE payable abroad [FINAN.]chequesBE payable abroad [FINAN.]
actual authority
pre-election
sheltered installation
travelingAE abroadtravellingBE abroad
master's level classes
devil-in-the-bush [BOT.]
","view (from)
end (of sth.)
sum (of)
absence (of)
number (of) also [TECH.]
content (of sth.)
knowledge (of)
purpose (of)
thousands of
storage (of)
exclusion (from)
absence (of)
dearth (of)
lack (of)
","as-if basis [INSUR.]
purely hypothetical approach [INSUR.]
frenemies
","being-toward-death [PHILOS.]
time to creep rupture
time to chopping [ELEC.]
service stop [TECH.]
time to crest - of a switching impulse [ELEC.]
fatigue life [TECH.]
total life to failure [TECH.]
rupture life [TECH.]
time to failure [TECH.]
boxing
close cribbing [TECH.]
close timbering [TECH.]
close set timber [TECH.]
close joint timbering [TECH.]
","ampersand [COMM.]
aphthous fever [MED.]
foot-and-mouth disease [MED.]
ampersand
conjunction [TECH.]
AND-function [TECH.]
AND element [COMP.][ELEC.]
AND gate [COMP.][ELEC.]
AND element [COMP.][ELEC.]
AND gate [COMP.][ELEC.]
AND element [COMP.][ELEC.]
AND gate [COMP.][ELEC.]
logical AND circuit [COMP.]
AND dependency [COMP.][ELEC.]
","Oder [GEOG.]
amphibious bistort [BOT.]
water knotweed [BOT.]
water smartweed [BOT.]
wired-OR
exclusive OR [MATH.][COMP.]
XOR [MATH.]
antivalence [COMP.]
oder-question [LING.]
OR gate [COMP.][ELEC.]
OR element [COMP.][ELEC.]
OR gate [COMP.][ELEC.]
OR element [COMP.][ELEC.]
disjunction [COMP.]
","audience (with) - hearing
approach (to sth.)
final index in case of reprogramming [COMP.][TECH.]
blank-when-zero clause [COMP.]
auction price
candlelight dinner
candlelit dinner
money-back guarantee
air bearing
man-machine chart
advertisement rating
making felt
crush resistance
salary pay point
","pressurizationAEpressurisationBE / pressurizationBE
below-zero indicator
Early Devonian [GEOL.]
dithionic acid [CHEM.]
hyposulfuricAE acid [CHEM.]hyposulphuricBE acid [CHEM.]
on-load operation [TECH.]
Lower Devonian [GEOL.]
Early Cambrian [GEOL.]
Georgian - North America [GEOL.]
Lower Cambrian [GEOL.]
subdeposit [TECH.]
Early Silurian - also called ""Ordovician"" in older literature [GEOL.]
Lower Silurian [GEOL.]
bottom
","congratulations pl. (on sth.)
congratulations pl. (on sth.)
alternative (to sth.)
invitation (to)
approach (to sth.)
to call for sth.
counterpart (of)
commentary - pl.: commentaries (on sth.)
bias (towardAE sth.)bias (towardsBE sth.)
inclination (for (or: to, towardAE)) - preferenceinclination (for (or: to, towardsBE)) - preference
disposedness
inclination (for (or: to, towardAE)) - preferenceinclination (for (or: to, towardsBE)) - preference
throwback (to sth.) - reversion
entry (to sth.) - point of entry, door, gate ...
","ampersand [COMM.]
aphthous fever [MED.]
foot-and-mouth disease [MED.]
ampersand
conjunction [TECH.]
AND-function [TECH.]
AND element [COMP.][ELEC.]
AND gate [COMP.][ELEC.]
AND element [COMP.][ELEC.]
AND gate [COMP.][ELEC.]
AND element [COMP.][ELEC.]
AND gate [COMP.][ELEC.]
logical AND circuit [COMP.]
AND dependency [COMP.][ELEC.]
","how
how to
whys and wherefores (of sth.) pl.
arm's length deal
nerves of steel
antsiness
a storybook ending
arm's length deal
diligentia quam in suis rebus Latin [LAW]
",,"Oder [GEOG.]
amphibious bistort [BOT.]
water knotweed [BOT.]
water smartweed [BOT.]
wired-OR
exclusive OR [MATH.][COMP.]
XOR [MATH.]
antivalence [COMP.]
oder-question [LING.]
OR gate [COMP.][ELEC.]
OR element [COMP.][ELEC.]
OR gate [COMP.][ELEC.]
OR element [COMP.][ELEC.]
disjunction [COMP.]
","information (as to) no plural
joy (about (or: over) sth.)
information (about) - short form: info
information (about) no plural
survey (of)
anger (at sth.)
anger (at sth.)
anger (at sth.)
over night [abbr.: o/n]
to think sth. of so./sth.
over head [TECH.]
debate (about (or: on) sth.)
discussion (about (or: on) sth.)
concern - worry (over sth.)
","pro
example (of)
indication (of)
instance (of)
replacement (for sth.)
ability (for)
basis (for)
sense (of sth.)
insult (to so.)
sense (of sth.)
World Intellectual Property Organization [abbr.: WIPO]
self-catering
pros and cons pl.
health and safety officer
","the ifs and buts
","protection (against (or: from) sth.)
fear (of sth.)
fear (of sth.)
respect (for sth.)
respect (for sth.)
security (against)
before meals [MED.] [PHARM.]
first responder
reverence (for so./sth.)
veneration (for so./sth.) - reverence
respect (for sth.)
revulsion (at)
on-site operation
on-site installation
",,"at the money forward [FINAN.]
amplitude modulated signal generator [METR.]
double-sideband amplitude modulation system [abbr.: DSB-AM] [TELECOM.]
Frankfurt am Main [GEOG.]
pro-am tournament
to be committed to doing sth.
to be a dunce at sth. - e.g. at a certain subject
to be a dunce at sth. - e.g. at a certain subject
to be in the family way
to be infatuated with so./sth.
to be paralysedAE / paralyzedAE with shock [coll.]to be paralysedBE with shock [coll.]
to be always on the go
to be buoyed by sth. [fig.]
material to be conveyed
","opposition (to)
resistance (to)
Law Against Unfair Competition [LAW]
cash on delivery [abbr.: COD]
upstream [TECH.]
susceptibility (to sth.)
violation (of sth.)
remedy (for)
dig (at so.) - mocking remark
aversion (to)
objection (to sth.)
case (against so.)
distaste (for)
antipathy (to)
","off
cross (between) [BIOL.]
oak-log
off kilter
bio-dimethyl ether [abbr.: BioDME] [TECH.]
bio dimethyl ether [CHEM.]
loss resulting from ...
residue-derived fuel [abbr.: RDF] [ENV.]
waste-derived fuel [abbr.: WDF] [ENV.]
chemical vaporAE deposition [abbr.: CVD] [ENV.]chemical vapourBE deposition [abbr.: CVD] [ENV.]
chemical vaporAE deposition [abbr.: CVD] [ENV.]chemical vapourBE deposition [abbr.: CVD] [ENV.]
off state
idle position
off-position
","to make so. happy (with sth.)
in one fell swoop
stayer
to give so. the pleasure of sth.
accord (with)
similarity (to)
exposure (to)
compliance (with)
exposure (to sth.)
border with Hungary/Germany/Austria
the matter with sth.
preoccupation with sth.
limited liability company [COMM.]
limited company (Brit.) [COMM.]
","bis-hydroxyethyl-sulfoneAE [CHEM.]bis-hydroxyethyl-sulphoneBE [CHEM.]
to-date [FINAN.]
in over your head
BIS equity ratio [FINAN.]
remaining cost (or: costs) to completion [FINAN.]
time to creep rupture
term of maturity
term of payment
time to chopping [ELEC.]
service stop [TECH.]
time to crest - of a switching impulse [ELEC.]
fatigue life [TECH.]
total life to failure [TECH.]
rupture life [TECH.]
","view (of sth.)
tax - pl.: taxes (on sth.) [FINAN.]
application (to)
prospect (of sth.)
influence (on)
right (to)
access (to) also [COMP.]
reference (to)
right (to)
faith (in so./sth.)
rise and fall
swayings
on-wall [TECH.]
allusion (to sth.)
","when
","the ins pl. (Amer.) [POL.]
belief (in so./sth.)
faith (in sth.)
share (in sth.)
faith (in so./sth.)
faith (in so./sth.)
single-handedly
in tray (or: in-tray)
in tray (or: in-tray)
in tray (or: in-tray)
in tatters
in tatters
in connection
on the side - position of a body
","share (in sth.)
faith (in sth.)
belief (in so./sth.)
lack (of)
absence (of)
despair (of sth.)
reminder (of)
point-of-sale [abbr.: POS] [COMM.]
dearth (of)
attribution (to so.)
want (of sth.)
reminiscence (of)
participation
excess (of)
","year-to-date [abbr.: YTD]
long-time resident
","sight-reading or: sightreading, sight reading
sight-reading or: sightreading, sight reading
sight-singing [MUS.]
","but
the ifs and buts
right but not the obligation
necessary but not sufficient condition
hours paid but not worked [COMM.]
","Strength through Joy [HIST.]
ecosystem loading (by) [ENV.]
impaired capital
waterborne disease
lessons learned
issued mortgage bonds
man-made crisis
war damage
margined security
covenantee
resignee
elective office
density of occupation fixed by the plan
stomach insecticide
","opposition (to)
resistance (to)
Law Against Unfair Competition [LAW]
cash on delivery [abbr.: COD]
upstream [TECH.]
susceptibility (to sth.)
violation (of sth.)
remedy (for)
dig (at so.) - mocking remark
aversion (to)
objection (to sth.)
case (against so.)
distaste (for)
antipathy (to)
","where
water-in-oil emulsion [TECH.]
","but
the ifs and buts
right but not the obligation
necessary but not sufficient condition
hours paid but not worked [COMM.]
","view (of sth.)
tax - pl.: taxes (on sth.) [FINAN.]
application (to)
prospect (of sth.)
influence (on)
right (to)
access (to) also [COMP.]
reference (to)
right (to)
faith (in so./sth.)
rise and fall
swayings
allusion (to sth.)
reference (to sth.)
","pro
example (of)
indication (of)
instance (of)
replacement (for sth.)
ability (for)
basis (for)
sense (of sth.)
insult (to so.)
sense (of sth.)
World Intellectual Property Organization [abbr.: WIPO]
self-catering
pros and cons pl.
health and safety officer
","desire (for)
desire (for)
approval (according to) [TECH.]
after provision for risk
after a chill [MED.]
craving (for)
yearning (for sth.)
pursuit (of sth.)
craving (for sth.)
anxiety (for)
desire (for)
longing (for)
inclusion (in)
annuity pursuant (to ...)
","at the money forward [FINAN.]
amplitude modulated signal generator [METR.]
double-sideband amplitude modulation system [abbr.: DSB-AM] [TELECOM.]
Frankfurt am Main [GEOG.]
pro-am tournament
to be committed to doing sth.
to be a dunce at sth. - e. g. at a certain subject
to be a dunce at sth. - e. g. at a certain subject
to be in the family way
to be infatuated with so./sth.
to be paralysedAE / paralyzedAE with shock [coll.]to be paralysedBE with shock [coll.]
to be always on the go
to be buoyed by sth. [fig.]
material to be conveyed
","the top brass
auto-da-fé - pl.: autos-da-fé [HIST.]
auto-da-fé - pl.: autos-da-fé [HIST.]
""Who are you"" signal [TELECOM.]
""Who are you"" signal function [TELECOM.]
WRU signal [TELECOM.]
alto viol [MUS.][HIST.]
viola (or: viol) da gamba - pl.: violas da gamba [MUS.][HIST.]
viola (or: viol) da gamba - pl.: violas da gamba [MUS.][HIST.]
viola (or: viol) da gamba - pl.: violas da gamba [MUS.][HIST.]
viola (or: viol) da braccio [MUS.][HIST.]
bass viol [MUS.][HIST.]
","Strength through Joy [HIST.]
ecosystem loading (by) [ENV.]
impaired capital
waterborne disease
lessons learned
issued mortgage bonds
man-made crisis
war damage
margined security
covenantee
resignee
elective office
density of occupation fixed by the plan
stomach insecticide
","anxiety (for) [PSYCH.]
rotated barcode
bid for sth.
bid for sth.
squabbling (over (or: about) sth.)
bickering (over (or: about) sth.) [coll.]
disagreement (about (or: on, over) sth.)
wrangling (over (or: about) sth.) (Brit.) [coll.]
argy-bargy (over (or: about sth.)) (Brit.) [coll.]
scrap (for sth.) [coll.] - fight
no-see-um [ZOOL.]
performance upon counter-performance [LAW]
to adjust for inflation [FINAN.]
request for confirmation
","full coverage
clear working day
full thrust
full settlement
settlement in full
settlement made in full
full of mistakes
clear profit
resonance - of voice
name in full
full price
long day
full settlement
a raving success
","information (as to) no plural
joy (about (or: over) sth.)
information (about) - short form: info
information (about) no plural
survey (of)
anger (at sth.)
anger (at sth.)
anger (at sth.)
over night [abbr.: o/n]
to think sth. of so./sth.
over head [TECH.]
time-weighted average [abbr.: TWA] [TECH.]
debate (about (or: on) sth.)
discussion (about (or: on) sth.)
","the ifs and buts
","as-if basis [INSUR.]
purely hypothetical approach [INSUR.]
","defiance
petulance
sulkiness
in the teeth of sth. - notwithstanding
defiantness rare
frowardness archaic
",,,"overseas
intracranial locatedness [TECH.]
picture-in-picture function [TECH.]
sound on vision [TELECOM.]
prepopulated field
cookout (Amer.)
foreign borrowing
checksAE payable abroad [FINAN.]chequesBE payable abroad [FINAN.]
actual authority
pre-election
sheltered installation
travelingAE abroadtravellingBE abroad
master's level classes
devil-in-the-bush [BOT.]
","anger (at sth.)
anger (at sth.)
anger (at sth.)
at sign [COMP.]
at sign [COMP.]
at symbol [COMP.]
at symbol [COMP.]
AT motor [TECH.]
at-home or: at home dated
dig (at so.) - mocking remark
revulsion (at)
displeasure (at (or: with) so.)
excellence at
Research Center in Spatial Economics at the University of Fribourg [abbr.: CRESUF]
",,"Na-form [CHEM.]
Na-form [CHEM.]
Na-X powder [CHEM.]
soda granite [GEOL.]
soda series [CHEM.]
","being-toward-death [PHILOS.]
time to creep rupture
time to chopping [ELEC.]
service stop [TECH.]
time to crest - of a switching impulse [ELEC.]
fatigue life [TECH.]
total life to failure [TECH.]
rupture life [TECH.]
time to failure [TECH.]
boxing
close cribbing [TECH.]
close timbering [TECH.]
close set timber [TECH.]
close joint timbering [TECH.]
","protection (against (or: from) sth.)
fear (of sth.)
fear (of sth.)
respect (for sth.)
respect (for sth.)
security (against)
before meals [MED.] [PHARM.]
first responder
reverence (for so./sth.)
veneration (for so./sth.) - reverence
respect (for sth.)
revulsion (at)
on-site operation
on-site installation
","to-date [FINAN.]
bis-hydroxyethyl sulfoneAE [CHEM.]bis-hydroxyethyl sulphoneBE [CHEM.]
in over your head
BIS equity ratio [FINAN.]
remaining cost (or: costs) to completion [FINAN.]
time to creep rupture
term of maturity
term of payment
time to chopping [ELEC.]
service stop [TECH.]
time to crest - of a switching impulse [ELEC.]
fatigue life [TECH.]
total life to failure [TECH.]
rupture life [TECH.]
","OB vehicle [TECH.]
as-if basis [INSUR.]
purely hypothetical approach [INSUR.]
","mineral depletion
","the risk involved
","to make so. happy (with sth.)
in one fell swoop
stayer
to give so. the pleasure of sth.
accord (with)
similarity (to)
exposure (to)
compliance (with)
exposure (to sth.)
border with Hungary/Germany/Austria
displeasure (at (or: with) so.)
the matter with sth.
preoccupation with sth.
limited liability company [abbr.: LLC] [COMM.]
","leptospirosis [MED.]
","desire (for)
desire (for)
approval (according to) [TECH.]
after provision for risk
after a chill [MED.]
craving (for)
yearning (for sth.)
pursuit (of sth.)
craving (for sth.)
anxiety (for)
desire (for)
longing (for)
inclusion (in)
annuity pursuant (to ...)
","the ins pl. (Amer.) [POL.]
the ins and outs
door-in-the-face technique [PSYCH.]
",,,"during manufacture [TECH.]
during my absence [TECH.]
superfetation
flux change during pulse cycle [TECH.]
conditions during heating [TECH.]
field lubrication [TECH.]
in-flight fuel dumping [AVIAT.]
on-the-fly compression - by modems [COMP.]
thinking distance [AUTOM.]
in-service education
measuring while drilling [TECH.]
measurement-while-drilling sensor (short form: MWD sensor) [TECH.]
phase overpressure [TECH.]
current ellipse [TECH.]
","fall
fall
fall (Amer.)
fall
case also [LAW][LING.][MED.]
drop
fall
fall
fall
fall
fall
fall
fall
fall
","answerphone (Brit.) [TELECOM.]
answering machine [TELECOM.]
abs pl. [coll.] - short for ""abdominal muscles"" [SPORT.]
rise and fall
stop-go situation (Brit.)
swayings
AB-serum [MED.]
class AB operation [ELEC.]
pit-head price [TECH.]
pithead price [TECH.]
ripped abs
minimum wellhead price
factory gate price [COMM.]
factory gate pricing [COMM.]
","step forward
"
